name,city,region,cuisine,price,url,stars
L'Atelier de Joël Robuchon,Hong Kong,Hong Kong,French contemporary,4,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/l-atelier-de-joel-robuchon,***
Sushi Shikon,Hong Kong,Hong Kong,Sushi,5,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/sushi-shikon,***
The Eight,Macau,Macau,Chinese,3,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/the-eight,***
Robuchon au Dôme,Macau,Macau,French contemporary,4,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/robuchon-au-dome,***
Jade Dragon,Macau,Macau,Cantonese,2,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/jade-dragon,***
Maaemo,Oslo,Norway,Modern cuisine,4,https://guide.michelin.com/no/en/oslo-region/oslo/restaurant/maaemo,***
Masa,New York,New York City,Japanese,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/masa,***
Per Se,New York,New York City,Contemporary,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/per-se,***
Le Bernardin,New York,New York City,Seafood,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-bernardin,***
Eleven Madison Park,New York,New York City,Contemporary,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/eleven-madison-park,***
Chef's Table at Brooklyn Fare,New York,New York City,Contemporary,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/chef-s-table-at-brooklyn-fare,***
La Yeon,Seoul,South Korea,Korean,4,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/la-yeon,***
Gaon,Seoul,South Korea,Korean,5,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/gaon,***
Frantzén,Stockholm,Sweden,Modern cuisine,4,https://guide.michelin.com/se/en/stockholm-region/stockholm/restaurant/frantzen,***
Le Palais,Taipei,Taipei,Cantonese,2,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/le-palais,***
The Inn at Little Washington,"Washington, D.C.",Washington DC,American,4,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/the-inn-at-little-washington,***
Fat Duck,Bray,United Kingdom,Creative,4,https://guide.michelin.com/gb/en/buckinghamshire/bray/restaurant/fat-duck,***
Waterside Inn,Bray,United Kingdom,Classic French,4,https://guide.michelin.com/gb/en/buckinghamshire/bray/restaurant/waterside-inn,***
Alain Ducasse at The Dorchester,Mayfair,United Kingdom,French,4,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/alain-ducasse-at-the-dorchester,***
The Araki,Mayfair,United Kingdom,Japanese,4,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/the-araki,***
Gordon Ramsay,Chelsea,United Kingdom,French,4,https://guide.michelin.com/gb/en/greater-london/chelsea/restaurant/gordon-ramsay,***
